NAME,POS,TEAM,RTG,OPP,DEF_RTG,h/a,DK salary,DK points
COOPER KUPP,WR,LAR,99.0,SF,-0.16379310344828468,away,9500,26.2
CHRISTIAN MCCAFFREY,RB,CAR,89.0,ARI,-3.198275862068968,away,8400,26.1
JONATHAN TAYLOR,RB,IND,94.0,JAX,1.4913793103448114,home,8100,27.6
DALVIN COOK,RB,MIN,86.0,LAC,0.38793103448274735,away,8000,20.8
DAVANTE ADAMS,WR,GB,90.0,SEA,1.2155172413793025,home,7900,14.8
JOSH ALLEN,QB,BUF,98.0,NYJ,3.1465517241379217,away,7900,24.94
NAJEE HARRIS,RB,PIT,92.0,DET,2.8706896551723986,home,7900,20.3
AJ BROWN,WR,TEN,83.0,NO,-1.2672413793103487,home,7800,3.3
LAMAR JACKSON,QB,BAL,99.0,MIA,1.7672413793103345,away,7800,16.42
JUSTIN JEFFERSON,WR,MIN,86.0,LAC,0.38793103448274735,away,7700,25.9
TYREEK HILL,WR,KC,91.0,LV,-0.4396551724138078,away,7700,27.5
TERRY MCLAURIN,WR,WAS,86.0,TB,-0.4396551724138078,home,7600,11.9
AUSTIN EKELER,RB,LAC,92.0,MIN,1.2155172413793025,home,7600,14.9
TOM BRADY,QB,TB,96.0,WAS,2.0431034482758577,away,7600,15.0
STEFON DIGGS,WR,BUF,84.0,NYJ,3.1465517241379217,away,7500,33.2
DEEBO SAMUEL,WR,SF,92.0,LAR,-0.7155172413793167,home,7400,30.3
JUSTIN HERBERT,QB,LAC,96.0,MIN,1.2155172413793025,home,7300,13.0
PATRICK MAHOMES,QB,KC,94.0,LV,-0.4396551724138078,away,7200,39.24
AARON RODGERS,QB,GB,90.0,SEA,1.2155172413793025,home,7100,11.48
CHRIS GODWIN,WR,TB,89.0,WAS,2.0431034482758577,away,7100,12.7
EZEKIEL ELLIOTT,RB,DAL,87.0,ATL,1.4913793103448114,home,7000,21.76
CEEDEE LAMB,WR,DAL,86.0,ATL,1.4913793103448114,home,7000,28.6
KEENAN ALLEN,WR,LAC,86.0,MIN,1.2155172413793025,home,7000,17.8
MATTHEW STAFFORD,QB,LAR,95.0,SF,-0.16379310344828468,away,7000,11.82
TRAVIS KELCE,TE,KC,99.0,LV,-0.4396551724138078,away,6900,22.9
MIKE EVANS,WR,TB,87.0,WAS,2.0431034482758577,away,6900,14.2
AARON JONES,RB,GB,87.0,SEA,1.2155172413793025,home,6900,12.6
DAK PRESCOTT,QB,DAL,94.0,ATL,1.4913793103448114,home,6900,26.34
DK METCALF,WR,SEA,88.0,GB,-1.5431034482758719,away,6800,5.6
D'ANDRE SWIFT,RB,DET,89.0,PIT,-0.9913793103448398,away,6800,19.5
DIONTAE JOHNSON,WR,PIT,86.0,DET,2.8706896551723986,home,6800,14.3
RUSSELL WILSON,QB,SEA,91.0,GB,-1.5431034482758719,away,6700,7.64
ADAM THIELEN,WR,MIN,86.0,LAC,0.38793103448274735,away,6700,11.5
MARQUISE BROWN,WR,BAL,89.0,MIA,1.7672413793103345,away,6700,9.7
MIKE WILLIAMS,WR,LAC,86.0,MIN,1.2155172413793025,home,6600,7.3
CORDARRELLE PATTERSON,RB,ATL,91.0,DAL,0.9396551724137794,away,6600,4.9
TYLER LOCKETT,WR,SEA,84.0,GB,-1.5431034482758719,away,6500,4.3
JALEN HURTS,QB,PHI,94.0,DEN,-2.370689655172427,away,6500,19.42
DARRELL HENDERSON,RB,LAR,83.0,SF,-0.16379310344828468,away,6400,8.1
DJ MOORE,WR,CAR,85.0,ARI,-3.198275862068968,away,6300,6.4
MICHAEL PITTMAN,WR,IND,86.0,JAX,1.4913793103448114,home,6300,12.1
DARREN WALLER,TE,LV,94.0,KC,1.2155172413793025,home,6300,6.4
JAMES CONNER,RB,ARI,84.0,CAR,-2.922413793103459,home,6300,15.4
JOSH JACOBS,RB,LV,84.0,KC,1.2155172413793025,home,6200,8.6
JAMES ROBINSON,RB,JAX,86.0,IND,0.38793103448274735,away,6200,18.4
AMARI COOPER,WR,DAL,85.0,ATL,1.4913793103448114,home,6200,9.1
RYAN TANNEHILL,QB,TEN,88.0,NO,-1.2672413793103487,home,6200,18.62
LEONARD FOURNETTE,RB,TB,83.0,WAS,2.0431034482758577,away,6100,17.2
KIRK COUSINS,QB,MIN,91.0,LAC,0.38793103448274735,away,6100,18.46
DEREK CARR,QB,LV,91.0,KC,1.2155172413793025,home,6000,19.24
GEORGE KITTLE,TE,SF,92.0,LAR,-0.7155172413793167,home,6000,16.0
MYLES GASKIN,RB,MIA,81.0,BAL,0.9396551724137794,home,6000,5.5
MATT RYAN,QB,ATL,85.0,DAL,0.9396551724137794,away,6000,2.68
DEVONTA SMITH,WR,PHI,80.0,DEN,-2.370689655172427,away,5900,22.6
CARSON WENTZ,QB,IND,85.0,JAX,1.4913793103448114,home,5900,7.1
MARVIN JONES,WR,JAX,79.0,IND,0.38793103448274735,away,5800,5.5
KYLE PITTS,TE,ATL,91.0,DAL,0.9396551724137794,away,5800,10.0
MARK ANDREWS,TE,BAL,97.0,MIA,1.7672413793103345,away,5700,18.3
ELIJAH MITCHELL,RB,SF,85.0,LAR,-0.7155172413793167,home,5700,9.1
EMMANUEL SANDERS,WR,BUF,80.0,NYJ,3.1465517241379217,away,5700,7.1
MICHAEL CARTER,RB,NYJ,82.0,BUF,-4.853448275862078,home,5600,18.2
TUA TAGOVAILOA,QB,MIA,87.0,BAL,0.9396551724137794,home,5600,12.32
COURTLAND SUTTON,WR,DEN,81.0,PHI,0.6637931034482705,home,5600,4.9
CHRISTIAN KIRK,WR,ARI,82.0,CAR,-2.922413793103459,home,5500,12.8
ANTONIO GIBSON,RB,WAS,81.0,TB,-0.4396551724138078,home,5500,21.8
TJ HOCKENSON,TE,DET,92.0,PIT,-0.9913793103448398,away,5500,0.0
JAYLEN WADDLE,WR,MIA,82.0,BAL,0.9396551724137794,home,5500,10.1
TEDDY BRIDGEWATER,QB,DEN,80.0,PHI,0.6637931034482705,home,5500,9.04
JIMMY GAROPPOLO,QB,SF,87.0,LAR,-0.7155172413793167,home,5500,15.38
JEREMY MCNICHOLS,RB,TEN,77.0,NO,-1.2672413793103487,home,5500,1.8
TAYLOR HEINICKE,QB,WAS,87.0,TB,-0.4396551724138078,home,5400,15.74
BAKER MAYFIELD,QB,CLE,85.0,NE,-1.5431034482758719,away,5400,5.92
DARREL WILLIAMS,RB,KC,77.0,LV,-0.4396551724138078,away,5400,32.4
CHUBA HUBBARD,RB,CAR,78.0,ARI,-3.198275862068968,away,5400,8.7
JERRY JEUDY,WR,DEN,79.0,PHI,0.6637931034482705,home,5300,11.1
MELVIN GORDON,RB,DEN,77.0,PHI,0.6637931034482705,home,5300,10.3
MAC JONES,QB,NE,83.0,CLE,-1.5431034482758719,home,5300,19.92
TREVOR LAWRENCE,QB,JAX,84.0,IND,0.38793103448274735,away,5300,10.78
JARVIS LANDRY,WR,CLE,78.0,NE,-1.5431034482758719,away,5200,6.6
TAYSOM HILL,TE,NO,76.0,TEN,0.11206896551723844,away,5200,5.24
ALEX COLLINS,RB,SEA,77.0,GB,-1.5431034482758719,away,5200,5.9
JARED GOFF,QB,DET,84.0,PIT,-0.9913793103448398,away,5200,4.56
TREVOR SIEMIAN,QB,NO,80.0,TEN,0.11206896551723844,away,5200,19.92
COLE BEASLEY,WR,BUF,78.0,NYJ,3.1465517241379217,away,5200,3.5
JD MCKISSIC,RB,WAS,77.0,TB,-0.4396551724138078,home,5200,7.9
HUNTER RENFROW,WR,LV,81.0,KC,1.2155172413793025,home,5100,17.6
MARQUEZ CALLAWAY,WR,NO,77.0,TEN,0.11206896551723844,away,5100,11.7
ZACK MOSS,RB,BUF,80.0,NYJ,3.1465517241379217,away,5100,8.7
JACOBY BRISSETT,QB,MIA,78.0,BAL,0.9396551724137794,home,5100,6.64
MIKE WHITE,QB,NYJ,85.0,BUF,-4.853448275862078,home,5100,6.04
KENYAN DRAKE,RB,LV,77.0,KC,1.2155172413793025,home,5100,5.1
PJ WALKER,QB,CAR,66.0,ARI,-3.198275862068968,away,5000,7.28
NYHEIM HINES,RB,IND,75.0,JAX,1.4913793103448114,home,5000,4.9
DEVONTA FREEMAN,RB,BAL,73.0,MIA,1.7672413793103345,away,5000,8.8
COLT MCCOY,QB,ARI,70.0,CAR,-2.922413793103459,home,5000,2.18
JAVONTE WILLIAMS,RB,DEN,79.0,PHI,0.6637931034482705,home,5000,6.9
CARLOS HYDE,RB,JAX,73.0,IND,0.38793103448274735,away,5000,1.4
JEFF WILSON,RB,SF,73.0,LAR,-0.7155172413793167,home,5000,2.8
DALTON SCHULTZ,TE,DAL,89.0,ATL,1.4913793103448114,home,5000,2.4
RUSSELL GAGE,WR,ATL,74.0,DAL,0.9396551724137794,away,5000,0.0
MIKE GESICKI,TE,MIA,90.0,BAL,0.9396551724137794,home,4900,0.0
BOSTON SCOTT,RB,PHI,70.0,DEN,-2.370689655172427,away,4900,12.5
COREY DAVIS,WR,NYJ,82.0,BUF,-4.853448275862078,home,4900,13.3
KALIF RAYMOND,WR,DET,76.0,PIT,-0.9913793103448398,away,4900,6.9
TIM PATRICK,WR,DEN,80.0,PHI,0.6637931034482705,home,4900,4.4
JORDAN HOWARD,RB,PHI,73.0,DEN,-2.370689655172427,away,4900,8.3
CASE KEENUM,QB,CLE,69.0,NE,-1.5431034482758719,away,4900,3.24
ADRIAN PETERSON,RB,TEN,73.0,NO,-1.2672413793103487,home,4900,3.0
AJ DILLON,RB,GB,75.0,SEA,1.2155172413793025,home,4800,26.8
JAMISON CROWDER,WR,NYJ,80.0,BUF,-4.853448275862078,home,4800,5.0
DONOVAN PEOPLESJONES,WR,CLE,77.0,NE,-1.5431034482758719,away,4800,2.6
COOPER RUSH,QB,DAL,79.0,ATL,1.4913793103448114,home,4800,0.08
JAKOBI MEYERS,WR,NE,78.0,CLE,-1.5431034482758719,home,4800,14.9
ELIJAH MOORE,WR,NYJ,76.0,BUF,-4.853448275862078,home,4700,13.4
LE'VEON BELL,RB,BAL,73.0,MIA,1.7672413793103345,away,4700,0.1
DALLAS GOEDERT,TE,PHI,85.0,DEN,-2.370689655172427,away,4700,4.8
DEVIN SINGLETARY,RB,BUF,76.0,NYJ,3.1465517241379217,away,4700,11.9
D'ERNEST JOHNSON,RB,CLE,71.0,NE,-1.5431034482758719,away,4700,22.7
BRANDON AIYUK,WR,SF,73.0,LAR,-0.7155172413793167,home,4700,5.6
