Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jimmy Butler,33,6,6,230,79,135,.585,12,28,.429,67,107,.626,.630,43,59,.729,13,28,41,28,11,2,14,11,213
2,Bam Adebayo,25,6,6,195,44,93,.473,0,1,.000,44,92,.478,.473,15,18,.833,14,37,51,27,8,3,19,19,103
3,Gabe Vincent,26,6,6,176,31,75,.413,19,45,.422,12,30,.400,.540,4,6,.667,3,4,7,30,4,0,13,17,85
4,Max Strus,26,6,6,171,14,30,.467,9,22,.409,5,8,.625,.617,3,4,.750,5,15,20,6,4,2,3,13,40
5,Caleb Martin,27,6,0,164,22,38,.579,8,21,.381,14,17,.824,.684,13,17,.765,5,27,32,11,7,1,6,11,65
6,Kyle Lowry,36,6,0,136,20,45,.444,8,20,.400,12,25,.480,.533,8,9,.889,1,15,16,22,5,6,12,15,56
7,Kevin Love,34,6,4,125,17,41,.415,15,35,.429,2,6,.333,.598,9,9,1.000,2,40,42,11,3,5,1,13,58
8,Duncan Robinson,28,6,1,113,17,31,.548,14,24,.583,3,7,.429,.774,1,1,1.000,0,14,14,8,1,0,6,5,49
9,Victor Oladipo,30,2,0,45,10,19,.526,2,5,.400,8,14,.571,.579,1,3,.333,1,6,7,2,2,1,2,5,23
10,Cody Zeller,30,5,0,45,5,6,.833,0,0,,5,6,.833,.833,1,4,.250,2,11,13,3,2,0,2,2,11
11,Haywood Highsmith,26,5,0,39,5,10,.500,1,4,.250,4,6,.667,.550,2,2,1.000,1,5,6,1,5,1,0,4,13
12,Tyler Herro,23,1,1,19,5,9,.556,2,4,.500,3,5,.600,.667,0,0,,0,2,2,2,0,1,1,1,12
13,Omer Yurtseven,24,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0
14,Udonis Haslem,42,1,0,2,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,0,0
