Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
28,RB,16,16,349,1538,13,65,56,4.4,96.1,6
24,RB,17,17,340,1653,12,93,86,4.9,97.2,3
27,RB,17,17,302,1525,12,69,41,5,89.7,1
25,RB,16,16,295,1312,10,62,68,4.4,82,1
24,RB,17,17,272,1034,7,45,36,3.8,60.8,3
27,RB,17,17,264,1173,8,50,81,4.4,69,4
27,RB,17,9,262,1066,17,65,58,4.1,62.7,3
25,RB,17,15,259,1269,11,62,40,4.9,74.6,2
26,RB,17,16,244,1139,8,59,49,4.7,67,1
27,RB,15,14,231,876,12,52,27,3.8,58.4,0
22,RB,15,11,228,1050,9,51,74,4.6,70,0
27,RB,15,13,223,897,2,40,27,4,59.8,4
23,RB,17,12,220,1125,5,52,62,5.1,66.2,5
22,RB,13,13,220,939,4,54,75,4.3,72.2,4
28,RB,17,17,213,1121,2,54,36,5.3,65.9,5
22,RB,16,7,210,1035,3,53,44,4.9,64.7,0
26,RB,14,14,210,814,7,47,40,3.9,58.1,0
24,RB,17,7,210,1040,5,49,49,5,61.2,4
23,RB,12,9,205,797,2,49,24,3.9,66.4,2
27,RB,17,17,204,915,13,46,72,4.5,53.8,5
26,RB,17,9,203,914,5,45,60,4.5,53.8,1
25,RB,16,16,201,801,5,41,28,4,50.1,2
25,RB,16,4,193,1007,9,46,57,5.2,62.9,0
23,RB,11,11,192,861,4,39,66,4.5,78.3,3
27,RB,16,9,189,668,3,39,23,3.5,41.8,0
23,RB,15,9,188,786,7,39,42,4.2,52.4,2
24,RB,17,3,186,770,7,47,27,4.1,45.3,1
27,RB,13,13,183,782,7,48,23,4.3,60.2,3
30,RB,16,14,181,891,3,44,67,4.9,55.7,1
25,RB,16,16,177,819,5,43,33,4.6,51.2,3
27,RB,16,7,176,860,5,43,41,4.9,53.8,3
32,RB,13,7,171,760,6,44,52,4.4,58.5,1
23,RB,17,11,170,830,5,37,31,4.9,48.8,4
24,QB,15,15,165,760,13,67,42,4.6,50.7,9
23,QB,15,15,160,1143,8,65,67,7.1,76.2,16
24,RB,15,6,149,546,3,32,20,3.7,36.4,1
31,RB,13,11,144,695,8,39,40,4.8,53.5,1
24,RB,13,1,129,731,4,26,63,5.7,56.2,0
23,RB,17,8,129,481,1,27,35,3.7,28.3,3
26,QB,16,16,124,762,7,55,44,6.1,47.6,13
27,RB,17,0,123,468,3,30,24,3.8,27.5,1
25,QB,16,16,120,708,7,57,25,5.9,44.3,6
23,RB,16,10,114,402,3,14,25,3.5,25.1,2
25,QB,12,12,112,764,3,47,79,6.8,63.7,5
24,RB,11,5,110,425,3,22,50,3.9,38.6,1
28,RB,12,5,109,482,4,21,40,4.4,40.2,1
25,RB,11,9,106,462,3,23,30,4.4,42,0
23,RB,14,8,99,542,5,21,50,5.5,38.7,1
32,TE,16,8,96,575,7,34,60,6,35.9,2
23,RB,15,2,95,466,2,23,35,4.9,31.1,2
27,RB,16,2,95,394,2,19,29,4.1,24.6,0
25,RB,13,3,93,456,1,18,43,4.9,35.1,1
24,RB,8,8,92,520,2,26,44,5.7,65,0
29,RB,10,6,90,318,2,15,17,3.5,31.8,5
23,RB,16,0,89,507,2,25,33,5.7,31.7,1
27,RB,9,4,87,433,3,30,37,5,48.1,1
21,RB,7,4,85,300,1,14,48,3.5,42.9,2
29,QB,13,13,85,438,4,30,30,5.2,33.7,8
21,RB,7,2,80,463,4,20,62,5.8,66.1,1
23,RB,15,3,77,313,2,14,45,4.1,20.9,0
24,RB,16,0,77,379,1,20,31,4.9,23.7,1
24,RB,12,0,76,366,1,18,30,4.8,30.5,1
26,QB,16,16,75,257,5,28,23,3.4,16.1,6
24,RB,17,0,74,283,5,21,15,3.8,16.6,0
30,RB,17,0,72,291,1,12,30,4,17.1,1
23,RB,10,6,71,302,3,15,52,4.3,30.2,0
25,RB,10,7,70,283,3,14,23,4,28.3,0
25,RB,13,1,69,287,2,16,22,4.2,22.1,0
26,RB,13,3,68,245,2,8,28,3.6,18.8,0
23,RB,16,2,68,236,1,13,17,3.5,14.8,1
32,QB,17,17,68,366,1,24,25,5.4,21.5,8
25,QB,11,11,67,418,3,23,42,6.2,38,8
33,RB,10,3,62,233,1,12,14,3.8,23.3,2
23,QB,17,17,62,291,5,27,24,4.7,17.1,12
27,QB,17,17,61,358,4,25,20,5.9,21.1,5
26,RB,5,5,57,346,2,15,41,6.1,69.2,1
24,QB,13,12,55,237,3,23,23,4.3,18.2,4
34,QB,15,15,55,277,3,21,19,5,18.5,6
27,RB,17,1,54,220,1,13,18,4.1,12.9,0
24,QB,17,17,54,147,0,17,23,2.7,8.6,8
27,RB,15,2,54,217,3,12,21,4,14.5,0
23,RB,17,0,53,240,4,17,13,4.5,14.1,0
30,QB,16,11,49,243,2,28,22,5,15.2,6
25,RB,15,0,49,262,0,15,34,5.3,17.5,2
24,QB,14,14,47,102,1,12,15,2.2,7.3,5
22,RB,4,4,47,204,0,9,17,4.3,51,1
26,RB,17,0,46,194,2,7,61,4.2,11.4,0
24,RB,5,1,45,279,2,15,37,6.2,55.8,0
29,QB,12,12,45,182,1,19,25,4,15.2,4
24,QB,6,4,43,137,1,12,14,3.2,22.8,3
23,RB,16,0,43,258,1,10,55,6,16.1,0
26,RB,16,0,42,170,1,8,27,4,10.6,0
28,RB,17,4,42,123,1,10,11,2.9,7.2,0
26,WR,13,12,42,232,3,8,51,5.5,17.8,3
26,RB,4,1,41,117,0,7,11,2.9,29.3,1
24,RB,12,0,38,161,1,6,23,4.2,13.4,0
26,WR,17,12,38,187,1,11,21,4.9,11,1
28,RB,13,2,37,152,0,6,23,4.1,11.7,0
27,RB,10,0,36,106,0,8,12,2.9,10.6,0
27,QB,6,6,36,175,1,10,21,4.9,29.2,1
24,RB,15,0,35,186,0,9,27,5.3,12.4,1
22,RB,10,0,35,139,0,6,17,4,13.9,0
22,RB,6,0,34,99,0,5,20,2.9,16.5,0
39,QB,17,17,34,94,1,9,18,2.8,5.5,8
