No.,Player,Age,Pos,G,GS,Rush Att,Rush Yds,Rush TD,Lng Rush,Rush Y/A,Rush Y/G,Rush A/G,Tgt,Rec,Rec Yds,Y/Rec,Rec TD,Lng Ret,Rec/G,Rec Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,Total TD,Fmb
22,Derrick Henry *,28,RB,16,16,349,1538,13,56,4.4,96.1,21.8,41,33,398,12.1,0,69,2.1,24.9,80.5%,9.7,382,5.1,1936,13,6
17,Ryan Tannehill,34,QB,12,12,34,98,2,17,2.9,8.2,2.8,,,,,0,,,,,,34,2.9,98,2,3
7,Malik Willis,23,QB,8,3,27,123,1,17,4.6,15.4,3.4,,,,,0,,,,,,27,4.6,123,1,3
25,Hassan Haskins,23,RB,15,1,25,93,0,12,3.7,6.2,1.7,12,11,57,5.2,0,10,0.7,3.8,91.7%,4.8,36,4.2,150,0,
40,Dontrell Hilliard,27,RB,12,1,22,145,0,30,6.6,12.1,1.8,26,21,177,8.4,4,31,1.8,14.8,80.8%,6.8,43,7.5,322,4,
36,Julius Chestnut,22,RB,6,0,9,12,0,5,1.3,2.0,1.5,3,3,41,13.7,0,33,0.5,6.8,100.0%,13.7,12,4.4,53,0,
11,Joshua Dobbs,27,QB,2,2,8,44,0,11,5.5,22.0,4.0,,,,,0,,,,,,8,5.5,44,0,4
33,Jonathan Ward,25,RB,3,0,5,25,0,12,5.0,8.3,1.7,3,2,7,3.5,0,4,0.7,2.3,66.7%,2.3,7,4.6,32,0,
16,Treylon Burks,22,WR,11,6,4,47,0,20,11.8,4.3,0.4,54,33,444,13.5,1,51,3.0,40.4,61.1%,8.2,37,13.3,491,1,
85,Chigoziem Okonkwo,23,TE,17,8,3,2,0,6,0.7,0.1,0.2,46,32,450,14.1,3,48,1.9,26.5,69.6%,9.8,35,12.9,452,3,
13,Racey McMath,23,WR,5,0,1,4,0,4,4.0,0.8,0.2,8,2,40,20.0,0,39,0.4,8.0,25.0%,5.0,3,14.7,44,0,
2,Robert Woods,30,WR,17,15,,,0,,,,,91,53,527,9.9,2,41,3.1,31.0,58.2%,5.8,53,9.9,527,2,1
81,Austin Hooper,28,TE,17,2,,,0,,,,,60,41,444,10.8,2,24,2.4,26.1,68.3%,7.4,41,10.8,444,2,
15,Nick Westbrook-Ikhine,25,WR,17,13,,,0,,,,,50,25,397,15.9,3,63,1.5,23.4,50.0%,7.9,25,15.9,397,3,
87,Geoff Swaim,29,TE,17,13,,,0,,,,,16,12,58,4.8,1,13,0.7,3.4,75.0%,3.6,12,4.8,58,1,
18,Kyle Philips,23,WR,4,0,,,0,,,,,13,8,78,9.8,0,21,2.0,19.5,61.5%,6.0,8,9.8,78,0,2
19,Chris Conley,30,WR,7,1,,,0,,,,,5,4,46,11.5,0,27,0.6,6.6,80.0%,9.2,4,11.5,46,0,
16,Cody Hollister,29,WR,11,3,,,0,,,,,5,3,54,18.0,0,27,0.3,4.9,60.0%,10.8,3,18.0,54,0,
80,C.J. Board,29,WR,4,0,,,0,,,,,1,1,6,6.0,0,6,0.3,1.5,100.0%,6.0,1,6.0,6,0,1
12,Mason Kinsey,24,WR,2,0,,,0,,,,,1,1,3,3.0,0,3,0.5,1.5,100.0%,3.0,1,3.0,3,0,1
19,Josh Gordon,31,WR,2,0,,,0,,,,,1,0,0,,0,0,0.0,0.0,0.0%,0.0,,,,0,
