Conference,Games Played,Completions,Attempts,Cmp %,Yards,Yards/Att,AvgYds/Att,Touchdowns,Interceptions,Passer Rating
Big Ten,13,258,389,66.3,3688,9.5,10.9,41,6,177.7
SEC,11,229,329,69.6,3135,9.5,10.9,27,2,175.5
Sun Belt,10,181,284,63.7,2697,9.5,10.5,25,5,169
MAC,11,244,353,69.1,3257,9.2,10.1,25,4,167.7
Pac-12,14,333,500,66.6,4537,9.1,10.3,42,5,168.5
SEC,15,310,455,68.1,4128,9.1,9.6,27,7,160.8
ACC,13,226,353,64,3214,9.1,9.8,24,5,160.1
Sun Belt,11,207,297,69.7,2700,9.1,10.4,24,2,171.4
American,13,215,338,63.6,3009,8.9,9.8,27,5,161.8
CUSA,11,136,215,63.3,1913,8.9,9,10,4,149.6
Big 12,15,267,419,63.7,3698,8.8,9.5,32,8,159.2
Pac-12,13,294,409,71.9,3593,8.8,9.4,29,7,165.7
SEC,12,245,380,64.5,3328,8.8,9.9,32,5,163.2
SEC,11,204,300,68,2648,8.8,9.7,24,5,165.2
Big Ten,10,173,274,63.1,2407,8.8,8.4,17,10,150.1
CUSA,14,328,471,69.6,4063,8.6,9.1,32,9,160.7
ACC,12,270,428,63.1,3701,8.6,9.2,38,12,159.4
CUSA,14,232,411,56.4,3547,8.6,8.6,33,15,148.1
Big 12,12,230,367,62.7,3168,8.6,9.3,25,6,154.4
American,9,148,250,59.2,2138,8.6,8.5,17,8,147.1
MWC,13,141,237,59.5,2030,8.6,7.7,12,10,139.7
Pac-12,12,272,435,62.5,3685,8.5,8.3,25,13,146.7
SEC,11,185,283,65.4,2406,8.5,8.3,19,10,151.9
Pac-12,13,362,554,65.3,4641,8.4,8.8,31,8,151.3
ACC,14,342,517,66.2,4321,8.4,9.2,38,7,157.9
Ind,12,248,376,66,3171,8.4,9.4,31,6,160.8
Sun Belt,12,219,349,62.8,2921,8.4,9.1,27,6,155.1
Sun Belt,13,206,335,61.5,2818,8.4,7.6,14,12,138.8
Big Ten,14,208,322,64.6,2719,8.4,9.1,22,5,155
Pac-12,13,266,382,69.6,3169,8.3,8.5,27,10,157.4
ACC,12,206,318,64.8,2645,8.3,8.4,17,7,147.9
American,13,334,496,67.3,4074,8.2,8.9,40,10,158.9
SEC,13,226,362,62.4,2974,8.2,8,20,11,143.6
Sun Belt,12,174,297,58.6,2443,8.2,8.4,18,7,143
MWC,10,169,234,72.2,1910,8.2,7.9,10,6,149.8
American,13,285,445,64,3559,8,8.2,22,8,143.9
American,12,288,443,65,3524,8,8.4,33,10,151.9
