Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Bam Adebayo,25,75,75,2598,602,1114,.540,1,12,.083,601,1102,.545,.541,324,402,.806,184,504,688,240,88,61,187,208,1529
2,Tyler Herro,23,67,67,2337,487,1109,.439,203,537,.378,284,572,.497,.531,170,182,.934,27,333,360,280,51,16,158,101,1347
3,Max Strus,26,80,33,2272,324,790,.410,197,563,.350,127,227,.559,.535,78,89,.876,49,209,258,171,42,12,70,166,923
4,Jimmy Butler,33,64,64,2138,479,888,.539,36,103,.350,443,785,.564,.560,472,555,.850,141,234,375,340,117,21,101,80,1466
5,Caleb Martin,27,71,49,2077,254,548,.464,84,236,.356,170,312,.545,.540,91,113,.805,88,256,344,117,71,31,78,145,683
6,Gabe Vincent,26,68,34,1759,228,567,.402,117,350,.334,111,217,.512,.505,68,78,.872,27,118,145,167,62,5,92,154,641
7,Kyle Lowry,36,55,44,1718,196,485,.404,107,310,.345,89,175,.509,.514,116,135,.859,43,182,225,281,57,21,103,143,615
8,Victor Oladipo,30,42,2,1106,160,403,.397,70,212,.330,90,191,.471,.484,59,79,.747,16,112,128,146,57,12,87,99,449
9,Haywood Highsmith,26,54,11,969,93,216,.431,37,109,.339,56,107,.523,.516,13,28,.464,57,131,188,43,36,17,45,82,236
10,Duncan Robinson,28,42,1,691,88,237,.371,63,192,.328,25,45,.556,.504,29,32,.906,8,61,69,46,14,0,28,77,268
11,Orlando Robinson,22,31,1,425,47,89,.528,0,6,.000,47,83,.566,.528,22,31,.710,48,78,126,25,12,12,16,53,116
12,Kevin Love,34,21,17,419,54,139,.388,30,101,.297,24,38,.632,.496,24,28,.857,17,102,119,40,9,5,23,32,162
13,Dewayne Dedmon,33,30,0,350,64,129,.496,11,37,.297,53,92,.576,.539,32,44,.727,28,81,109,16,7,14,19,61,171
14,Jamal Cain,23,18,0,240,37,66,.561,7,20,.350,30,46,.652,.614,17,22,.773,15,37,52,12,11,1,6,21,98
15,Cody Zeller,30,15,2,217,37,59,.627,0,2,.000,37,57,.649,.627,24,35,.686,25,39,64,10,3,4,14,33,98
16,Nikola Jović,19,15,8,204,28,69,.406,8,35,.229,20,34,.588,.464,18,19,.947,9,22,31,10,7,2,10,19,82
17,Omer Yurtseven,24,9,0,83,16,27,.593,3,7,.429,13,20,.650,.648,5,6,.833,8,15,23,2,2,2,4,16,40
18,Udonis Haslem,42,7,1,71,10,29,.345,3,9,.333,7,20,.350,.397,4,5,.800,4,7,11,0,1,2,1,11,27
19,Dru Smith,25,5,1,67,5,14,.357,1,6,.167,4,8,.500,.393,0,0,,1,8,9,5,4,3,1,10,11
20,Jamaree Bouyea,23,4,0,65,6,13,.462,2,5,.400,4,8,.500,.538,1,2,.500,1,4,5,4,4,2,4,5,15
