Rk,Year,Conf,W,L,T,Pct,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
1,2022,SEC,11,2,0,.846,6,2,0,.750,17.90,4.98,,2,6,Josh Heupel (11-2),Orange Bowl (W),
2,2021,SEC,7,6,0,.538,4,4,0,.500,7.97,3.50,,,,Josh Heupel (7-6),Music City Bowl (L),
3,2020,SEC,3,7,0,.300,3,7,0,.300,1.49,8.89,25,14,,Jeremy Pruitt (3-7),,
4,2019,SEC,8,5,0,.615,5,3,0,.625,5.13,2.74,,,,Jeremy Pruitt (8-5),Gator Bowl (W),
5,2018,SEC,5,7,0,.417,2,6,0,.250,0.39,6.05,,,,Jeremy Pruitt (5-7),,
6,2017,SEC,4,8,0,.333,0,8,0,.000,-3.18,3.41,25,23,,Butch Jones (4-6) Brady Hoke (0-2),,
7,2016,SEC,9,4,0,.692,4,4,0,.500,10.59,4.44,9,9,22,Butch Jones (9-4),Music City Bowl (W),
8,2015,SEC,9,4,0,.692,5,3,0,.625,13.94,3.10,25,22,22,Butch Jones (9-4),Outback Bowl (W),
9,2014,SEC,7,6,0,.538,3,5,0,.375,8.13,5.52,,,,Butch Jones (7-6),TaxSlayer Bowl (W),
10,2013,SEC,5,7,0,.417,2,6,0,.250,4.29,8.37,,,,Butch Jones (5-7),,
11,2012,SEC,5,7,0,.417,1,7,0,.125,4.07,4.82,,23,,Derek Dooley (4-7) Jim Chaney (1-0),,
12,2011,SEC,5,7,0,.417,1,7,0,.125,4.26,4.84,,,,Derek Dooley (5-7),,
13,2010,SEC,6,7,0,.462,3,5,0,.375,1.78,2.62,,,,Derek Dooley (6-7),Music City Bowl (L),
14,2009,SEC,7,6,0,.538,4,4,0,.500,8.94,5.48,,,,Lane Kiffin (7-6),Chick-fil-A Bowl (L),
15,2008,SEC,5,7,0,.417,3,5,0,.375,1.64,2.89,18,18,,Phillip Fulmer (5-7),,
16,2007,SEC,10,4,0,.714,6,2,0,.750,11.68,6.11,15,12,12,Phillip Fulmer (10-4),Outback Bowl (W),
17,2006,SEC,9,4,0,.692,5,3,0,.625,14.15,6.92,23,7,25,Phillip Fulmer (9-4),Outback Bowl (L),
18,2005,SEC,5,6,0,.455,3,5,0,.375,4.25,4.80,3,3,,Phillip Fulmer (5-6),,
19,2004,SEC,10,3,0,.769,7,1,0,.875,11.69,5.00,14,9,13,Phillip Fulmer (10-3),Cotton Bowl (W),
20,2003,SEC,10,3,0,.769,6,2,0,.750,11.53,3.99,12,6,15,Phillip Fulmer (10-3),Peach Bowl (L),
21,2002,SEC,8,5,0,.615,5,3,0,.625,7.41,2.94,5,4,,Phillip Fulmer (8-5),Peach Bowl (L),
22,2001,SEC,11,2,0,.846,7,1,0,.875,19.22,8.83,8,2,4,Phillip Fulmer (11-2),Citrus Bowl (W),
23,2000,SEC,8,4,0,.667,5,3,0,.625,7.87,1.95,12,11,,Phillip Fulmer (8-4),Cotton Bowl (L),
24,1999,SEC,9,3,0,.750,6,2,0,.750,20.23,7.14,2,2,9,Phillip Fulmer (9-3),Fiesta Bowl (L),
25,1998,SEC,13,0,0,1.000,8,0,0,1.000,19.96,4.42,10,1,1,Phillip Fulmer (13-0),Fiesta Bowl (W),
